index,degree,closeness,betweenness,eigenvector
木樨地,0.00966183574879227,0.08791675514971331,0.054041225120378594,0.021957572333983245
化工,0.004830917874396135,0.06583969465648855,0.050186940067453785,0.00016176552867087113
泃河湾,0.0024154589371980675,0.044573643410852716,0.0,6.980897576339397e-09
方庄,0.004830917874396135,0.07972270363951472,0.020662238253620634,0.0012066609946294851
生物医药基地,0.004830917874396135,0.04552952820851204,0.004830917874396136,8.654062971244506e-09
勇士营,0.004830917874396135,0.07590759075907591,0.019183305845059714,0.002379273262943998
海淀黄庄,0.00966183574879227,0.07946257197696736,0.051140415535429216,0.023566796224629285
朝阳港,0.004830917874396135,0.07617295308187673,0.04202684103199949,0.0008691491428221794
回龙观,0.004830917874396135,0.07009820521503556,0.015818344775977326,0.000123192508026981
天通苑,0.004830917874396135,0.06420595533498759,0.004830917874396136,7.299163900163046e-05
稻田,0.004830917874396135,0.059576917542092385,0.087787018516569,2.517481283952361e-06
通运门,0.004830917874396135,0.04955116696588869,0.023920646617772632,1.794627117390969e-07
富丰桥,0.004830917874396135,0.06803615447822514,0.014422570796925993,8.984510957428722e-05
朝阳门,0.00966183574879227,0.09826726798006172,0.13498668172504388,0.10164309692150589
王府井北,0.004830917874396135,0.08990228013029317,0.004458107704360343,0.03257368953629165
长阳,0.004830917874396135,0.056511056511056514,0.08337719759974735,7.191860900321454e-07
德茂,0.004830917874396135,0.053158705701078585,0.004830917874396136,1.6641151173202736e-07
东管头,0.004830917874396135,0.07624309392265194,0.009316945768797595,0.0007068222335547015
东四,0.00966183574879227,0.09954315941332051,0.12869046799472114,0.1738150119648993
南锣鼓巷,0.014492753623188404,0.10275502606105734,0.25850021816537655,0.3263901794622863
沙河高教园,0.004830917874396135,0.05425239156073909,0.028634593115064746,9.554117525610099e-07
九棵树,0.004830917874396135,0.046896239238785685,0.019656669201358112,3.417800387443834e-08
大钟寺,0.00966183574879227,0.08799149840595112,0.1045479959675472,0.08755116441700898
大瓦窑,0.004830917874396135,0.05932081960166213,0.009638441473371466,2.3532036078330283e-05
陶然亭,0.004830917874396135,0.08436926839209292,0.014700909717467335,0.004660731782867614
龙泽,0.004830917874396135,0.07033639143730887,0.016051285326438073,0.0001466118856865138
平西府,0.004830917874396135,0.0640074211502783,0.023032806015225216,2.924979530844256e-05
磁器口,0.00966183574879227,0.0872681281618887,0.03283123673130426,0.010854662329494624
惠新西街南口,0.00966183574879227,0.0828994793752503,0.034459832295503895,0.008243032191016202
郝家府,0.004830917874396135,0.043233082706766915,0.009638441473371466,4.181800503211833e-09
北沙滩,0.004830917874396135,0.07639785938365012,0.014109174400608588,0.0021245879557452675
西单,0.00966183574879227,0.0892049127343245,0.0125579168885339,0.04935951609821748
农业展览馆,0.004830917874396135,0.08630393996247655,0.010699289221589824,0.008481651537246232
常营,0.004830917874396135,0.0612879348630644,0.04263606695441626,2.694475507566716e-05
永定门外,0.00966183574879227,0.08204518430439953,0.03396453635716704,0.001613794194623709
呼家楼,0.00966183574879227,0.09124972448754684,0.06891620130622007,0.030275795661222446
马甸桥,0.004830917874396135,0.09039301310043668,0.01985023670872742,0.038127459998339115
北邵洼,0.004830917874396135,0.04905794525417703,0.019183305845059714,7.79720719405751e-08
太阳宫,0.00966183574879227,0.08567880794701986,0.10757753114544658,0.010541482304444422
大屯路东,0.00966183574879227,0.07625713759440045,0.020004588809126873,0.00184992819427045
颐和园西门,0.004830917874396135,0.06335118592195868,0.019183305845059714,0.0004951431799790968
蓟门桥,0.00966183574879227,0.09189789123196448,0.053174988067304564,0.10458702676106627
慈寿寺,0.00966183574879227,0.07947782683816472,0.07188232745979768,0.010036632574023867
星火站,0.004830917874396135,0.07379679144385026,0.009832518394513566,0.0010670661759677835
达官营,0.00966183574879227,0.08596345514950166,0.05039007711083806,0.009146020848065
景风门,0.00966183574879227,0.09185711116041713,0.1920667598709105,0.01450937675933677
光熙门,0.00966183574879227,0.08836712913553896,0.044213382804184645,0.013089212796117577
