index,degree,closeness,betweenness,eigenvector,entropyK,meanK
廖公庄,0.004830917874396135,0.06508410627259865,0.03453554211502933,0.00032643063638400463,87.49740037032197,0.008754817759031598
稻香湖路,0.004830917874396135,0.0460204535349044,0.009638441473371466,2.861597612947873e-07,41.537350169371805,0.003686101899159583
宋家庄,0.00966183574879227,0.07617295308187673,0.06538496792338998,0.00026511581396683416,98.70873990208474,0.010071659716452883
广安门内,0.004830917874396135,0.08345091715379964,0.03689969234121515,0.0054360096366338345,124.02230379052621,0.02409375451319893
永定路,0.004830917874396135,0.06940486169321039,0.003174266503739782,0.0010464946076736202,102.0476835671909,0.012705638112391048
车公庄西,0.004830917874396135,0.0931174089068826,0.035650667136328085,0.0960607855779642,128.03286780158638,0.027918799805626126
北苑,0.004830917874396135,0.07666666666666666,0.06200250144419533,0.0024375552182831274,87.61797322467851,0.00932329459746962
六道口,0.00966183574879227,0.07866235987079613,0.026104886192790184,0.005891266398286122,83.49506867305902,0.009092227829249705
安德里北街,0.004830917874396135,0.09029443838604144,0.013401981838233521,0.03843091792168398,128.31028941946013,0.028473447921495296
望京西,0.014492753623188403,0.08199643493761141,0.16548823495794826,0.008328575743113542,90.01825580287662,0.00960059574326651
团结湖,0.00966183574879227,0.09114927344782034,0.08488715567517488,0.0277621465703255,124.29954066162279,0.024240538692608907
知春路,0.00966183574879227,0.08419768151311775,0.07903125333148639,0.0468738126222831,101.17778552369356,0.014698176737785597
东坝中街,0.004830917874396135,0.06415620641562064,0.0016736654540633908,7.37983595545875e-05,99.53990551195973,0.011379415382904766
果园,0.004830917874396135,0.049034703304512615,0.02416006721986299,1.1963767158932828e-07,117.95781663628476,0.015762625429643927
北京大学东门,0.004830917874396135,0.06908059402636409,0.0037068229404264774,0.0020600717255586567,72.6982359594096,0.006703371855121363
天宫院,0.0024154589371980675,0.04355144119503472,0.0,2.285724464951495e-09,105.26433347659015,0.013300798230650949
永丰,0.004830917874396135,0.05061124694376528,0.019183305845059714,3.5082704571609352e-06,41.8160580045245,0.0037680314090846267
积水潭,0.00966183574879227,0.0993997599039616,0.11499139664298468,0.25181602187152063,128.7092019934264,0.030032348272011136
马连洼,0.004830917874396135,0.05938889685841343,0.033325145336936056,0.00015047680180479555,41.511160898801215,0.0037856329381343043
中关村,0.004830917874396135,0.0738362760834671,0.008221918096641752,0.006768607981703601,75.7524361447127,0.007377250126805113
曹各庄北,0.007246376811594201,0.06854304635761589,0.04733831631399797,0.00017135014848731797,84.4233649550327,0.0073480377210092705
花梨坎,0.004830917874396135,0.053261289077576233,0.023920646617772632,1.5590208246838605e-06,47.246287619664194,0.003986007109725097
管庄,0.004830917874396135,0.056805708013172335,0.037670261275377634,5.1314787756107045e-06,119.16034035894441,0.01286972084867462
长椿街,0.004830917874396135,0.08859405093087952,0.003604426097420458,0.032135283895120804,136.08146667555928,0.030534986711130634
东湖渠,0.004830917874396135,0.07145322747670002,0.009638441473371466,0.0008189549976465778,47.06895195156552,0.004303370546241602
高米店北,0.004830917874396135,0.06615532118887824,0.03799230328338656,5.6104423235923965e-05,63.994684815310336,0.00521651252083583
平房村,0.004830917874396135,0.06624,0.0023180821770559822,0.00010097447584395064,100.13329913633967,0.012047849347909572
朱辛庄,0.007246376811594201,0.0643456636617967,0.0470386475000996,4.09793913956854e-05,68.84454809514823,0.005689509160361754
西黄村,0.004830917874396135,0.061360604713205875,0.030020446958814062,9.343478871611182e-05,84.79592262695108,0.008377299462512032
将台,0.004830917874396135,0.07450062983624257,0.004172205132832568,0.0006210837160718356,109.37463137699713,0.01567157036132717
马泉营,0.004830917874396135,0.06301369863013699,0.03799230328338656,6.686932804405549e-05,47.45147045074347,0.004049652662478805
公益西桥,0.004830917874396135,0.077066269545793,0.010044722056512773,0.0008190644914528661,93.39900489602691,0.011077120919328363
黄村西大街,0.004830917874396135,0.05263157894736842,0.019183305845059714,3.7367637730294656e-07,63.387183559240164,0.0054496221350969895
